SubjectCode,SubjectName,Semester,Year,Credits,GPACredits
IT1106,Information Systems,1,1,4,4
IT1206,Computer Systems,1,1,4,4
IT1306,Free and Open Source Software for Personal Computing,1,1,3,3
IT1406,Introduction to Programming,1,1,4,4
IT1506,Fundamentals of Mathematics,1,1,1,1
EN2106,Communication Skills I,2,1,2,0
IT2106,Mathematics for Computing I,2,1,3,3
IT2206,Fundamentals of Software Engineering,2,1,4,4
IT2306,Database Systems,2,1,4,4
IT2406,Web Application Development I,2,1,4,4
EN3106,Communication Skills II,3,2,2,0
IT3106,Object Oriented Analysis & Design,3,2,3,3
IT3206,Data Structures and Algorithms,3,2,3,3
IT3306,Data Management Systems,3,2,3,3
IT3406,Web Application Development II,3,2,4,4
IT4106,User Experience Design,4,2,3,3
IT4206,Enterprise Application Development,4,2,4,4
IT4306,Information Technology Project Management,4,2,3,3
IT4406,Agile Software Development,4,2,4,4
IT4506,Computer Networks,4,2,3,3
EN5106,Fundamentals of Management & Entrepreneurship,5,3,2,0
IT5106,Software Development Project,5,3,8,8
IT5206,Professional Practice,5,3,3,3
IT5306,Principles of Information Security,5,3,3,3
IT5406,Systems & Network Administration,5,3,3,3
IT5506,Mathematics for Computing II,5,3,3,3
EN6106,Emerging Topics in Information Technology,6,3,2,0
IT6206,Software Quality Assurance,6,3,3,3
IT6306,Mobile Application Development,6,3,4,4
IT6406,Network Security and Audit,6,3,3,3
IT6506,e-Business Technologies,6,3,3,3
