Code,Name,Semester,Credits,GPA Credits,Course Type
IT1106,Information Systems,1,4,4,C
IT1206,Computer Systems,1,4,4,C
IT1306,Free and Open Source Software for Personal Computing,1,3,3,C
IT1406,Introduction to Programming,1,4,4,C
IT1506,Fundamentals of Mathematics,1,1,1,C
EN2106,Communication Skills I,2,2,0,C
IT2106,Mathematics for Computing I,2,3,3,C
IT2206,Fundamentals of Software Engineering,2,4,4,C
IT2306,Database Systems,2,4,4,C
IT2406,Web Application Development I,2,4,4,C
EN3106,Communication Skills II,3,2,0,C
IT3106,Object Oriented Analysis & Design,3,3,3,C
IT3206,Data Structures and Algorithms,3,3,3,C
IT3306,Data Management Systems,3,3,3,C
IT3406,Web Application Development II,3,4,4,C
IT4106,User Experience Design,4,3,3,C
IT4206,Enterprise Application Development,4,4,4,C
IT4306,Information Technology Project Management,4,3,3,C
IT4406,Agile Software Development,4,4,4,C
IT4506,Computer Networks,4,3,3,C
EN5106,Fundamentals of Management & Entrepreneurship,5,2,0,C
IT5106*,Software Development Project,5,8,8,C
IT5206,Professional Practice,5,3,3,C
IT5306,Principles of Information Security,5,3,3,C
IT5406,Systems & Network Administration,5,3,3,C
IT5506,Mathematics for Computing II,5,3,3,O
EN6106,Emerging Topics in Information Technology,6,2,0,C
IT6206,Software Quality Assurance,6,3,3,C
IT6306,Mobile Application Development,6,4,4,C
IT6406,Network Security and Audit,6,3,3,C
IT6506,e-Business Technologies,6,3,3,O
